Time (EET),Open,High,Low,Close,Volume 
2022.08.19 00:00:00,1.19281,1.19338,1.19256,1.19287,2047.11
2022.08.19 01:00:00,1.19288,1.19346,1.19278,1.19287,5450.95
2022.08.19 02:00:00,1.19295,1.19357,1.19285,1.19298,3088.53
2022.08.19 03:00:00,1.19298,1.19327,1.19046,1.19055,4737
2022.08.19 04:00:00,1.19054,1.19201,1.19045,1.19108,2909.04
2022.08.19 05:00:00,1.1911,1.19258,1.19074,1.19234,2201.59
2022.08.19 06:00:00,1.19242,1.19245,1.19125,1.19157,2079.18
2022.08.19 07:00:00,1.19162,1.19163,1.18936,1.19015,2893.69
2022.08.19 08:00:00,1.19014,1.19199,1.19012,1.1915,1886.45
2022.08.19 09:00:00,1.19149,1.19251,1.18991,1.19044,5909.37
2022.08.19 10:00:00,1.19046,1.19254,1.19003,1.19116,9060.2
2022.08.19 11:00:00,1.19115,1.19118,1.18793,1.18948,9230.36
2022.08.19 12:00:00,1.18947,1.18958,1.18688,1.18703,8028.24
2022.08.19 13:00:00,1.18702,1.18706,1.184,1.18408,7476.31
2022.08.19 14:00:00,1.18409,1.18453,1.18151,1.18329,8395.74
2022.08.19 15:00:00,1.18329,1.18542,1.18238,1.18471,10578.95
2022.08.19 16:00:00,1.18471,1.18572,1.1821,1.18262,10914.65
2022.08.19 17:00:00,1.18264,1.18309,1.17963,1.18027,9720.92
2022.08.19 18:00:00,1.18028,1.18207,1.17916,1.18066,8212.87
2022.08.19 19:00:00,1.18066,1.18266,1.18066,1.18248,6557.28
2022.08.19 20:00:00,1.18249,1.18338,1.18184,1.18269,3185.95
2022.08.19 21:00:00,1.18268,1.18276,1.18105,1.18107,3874.61
2022.08.19 22:00:00,1.1811,1.1832,1.1811,1.18296,4287.57
2022.08.19 23:00:00,1.18296,1.18346,1.18224,1.18224,2743.07
2022.08.22 00:00:00,1.18169,1.18311,1.18169,1.18271,514.67
2022.08.22 01:00:00,1.1826,1.18296,1.18157,1.18213,1933.29
2022.08.22 02:00:00,1.18213,1.18246,1.18105,1.18184,4030.91
2022.08.22 03:00:00,1.18183,1.182,1.18049,1.18071,1829.81
2022.08.22 04:00:00,1.18069,1.18199,1.18058,1.18167,2784.13
2022.08.22 05:00:00,1.1817,1.18298,1.18149,1.18298,2912.72
2022.08.22 06:00:00,1.18299,1.18363,1.18255,1.18295,1333.48
2022.08.22 07:00:00,1.18295,1.18335,1.18231,1.18301,1101.65
2022.08.22 08:00:00,1.183,1.18359,1.18252,1.18252,958.05
2022.08.22 09:00:00,1.18255,1.18274,1.18113,1.18118,4368.8
2022.08.22 10:00:00,1.18124,1.1817,1.17873,1.17939,8048.63
2022.08.22 11:00:00,1.17942,1.1819,1.17819,1.18121,8938.74
2022.08.22 12:00:00,1.18119,1.18186,1.17948,1.18145,6227.19
2022.08.22 13:00:00,1.18146,1.18194,1.17992,1.18035,6319.84
