Time (EET),Open,High,Low,Close,Volume 
2022.08.19 00:00:00,1.29444,1.29454,1.29421,1.29437,452.69
2022.08.19 01:00:00,1.2943,1.29503,1.2943,1.29471,1917.89
2022.08.19 02:00:00,1.29471,1.29481,1.29446,1.29468,2534.8
2022.08.19 03:00:00,1.29468,1.29624,1.29446,1.29593,6512.4
2022.08.19 04:00:00,1.29593,1.29662,1.29536,1.29601,7359.18
2022.08.19 05:00:00,1.29602,1.29613,1.29471,1.29479,6068.18
2022.08.19 06:00:00,1.29478,1.2955,1.29463,1.29547,3714.27
2022.08.19 07:00:00,1.29548,1.29618,1.29539,1.29605,3165.96
2022.08.19 08:00:00,1.29606,1.29663,1.29565,1.29585,4239.73
2022.08.19 09:00:00,1.29584,1.29728,1.29578,1.29692,7456.65
2022.08.19 10:00:00,1.29693,1.2977,1.29624,1.29656,10179.81
2022.08.19 11:00:00,1.29661,1.29805,1.29622,1.29747,9459.38
2022.08.19 12:00:00,1.29747,1.29788,1.2971,1.29744,6120.5
2022.08.19 13:00:00,1.29745,1.29914,1.29744,1.29885,7249.7
2022.08.19 14:00:00,1.29887,1.30032,1.29825,1.2994,8622.52
2022.08.19 15:00:00,1.2994,1.29959,1.2976,1.29776,12660.87
2022.08.19 16:00:00,1.29778,1.29962,1.29705,1.29949,15785.11
2022.08.19 17:00:00,1.29949,1.30047,1.29843,1.30043,13619.52
2022.08.19 18:00:00,1.30042,1.30085,1.29846,1.29941,10209.55
2022.08.19 19:00:00,1.29939,1.29957,1.29805,1.29815,11151.61
2022.08.19 20:00:00,1.29815,1.29926,1.29797,1.29882,8630.84
2022.08.19 21:00:00,1.29886,1.29947,1.29845,1.2994,8148.02
2022.08.19 22:00:00,1.2994,1.29984,1.29897,1.29933,5485.88
2022.08.19 23:00:00,1.29934,1.29985,1.29891,1.29918,2511.74
2022.08.22 00:00:00,1.29842,1.29911,1.29786,1.29878,239.18
2022.08.22 01:00:00,1.29878,1.29994,1.29878,1.29936,1823.5
2022.08.22 02:00:00,1.29936,1.30035,1.29929,1.29999,2938.69
2022.08.22 03:00:00,1.29998,1.30047,1.29973,1.30022,4669.75
2022.08.22 04:00:00,1.30023,1.3003,1.29919,1.29928,6593.93
2022.08.22 05:00:00,1.29928,1.29953,1.29853,1.29853,5624.27
2022.08.22 06:00:00,1.29854,1.29905,1.29852,1.29887,3573.48
2022.08.22 07:00:00,1.29887,1.29938,1.29879,1.29891,2517.65
2022.08.22 08:00:00,1.29892,1.29955,1.29875,1.29955,4048.61
2022.08.22 09:00:00,1.29959,1.30055,1.29953,1.30047,7788.03
2022.08.22 10:00:00,1.30048,1.30103,1.29948,1.3009,8345.14
2022.08.22 11:00:00,1.30089,1.30185,1.29913,1.29946,9025.45
2022.08.22 12:00:00,1.29948,1.30022,1.2981,1.29825,7586.69
2022.08.22 13:00:00,1.29826,1.29878,1.29708,1.2987,7782.31
2022.08.22 14:00:00,1.29869,1.29908,1.29815,1.29829,6466.59
2022.08.22 15:00:00,1.29829,1.29949,1.29818,1.29923,9131.41
2022.08.22 16:00:00,1.29922,1.30397,1.29921,1.30382,15344.53
2022.08.22 17:00:00,1.30382,1.30453,1.30267,1.30428,15548.22
2022.08.22 18:00:00,1.30429,1.30483,1.30319,1.30387,10940.17
2022.08.22 19:00:00,1.30387,1.30475,1.30277,1.3045,13350.01
2022.08.22 20:00:00,1.30448,1.306,1.30444,1.30598,10956.1
2022.08.22 21:00:00,1.30599,1.30604,1.30492,1.30533,9652.4
2022.08.22 22:00:00,1.30532,1.30533,1.30418,1.3046,7432.32
2022.08.22 23:00:00,1.3046,1.30561,1.30438,1.30557,2040.64
2022.08.23 00:00:00,1.3056,1.3056,1.30497,1.30503,659.14
2022.08.23 01:00:00,1.30503,1.30521,1.3047,1.30479,1338.45
2022.08.23 02:00:00,1.3048,1.30527,1.3046,1.30487,3043.33
2022.08.23 03:00:00,1.30487,1.30577,1.30359,1.30501,8157.23
2022.08.23 04:00:00,1.30502,1.30508,1.30337,1.30353,8385.9
2022.08.23 05:00:00,1.30353,1.30371,1.30284,1.30295,4852.69
2022.08.23 06:00:00,1.30297,1.30327,1.3024,1.30258,3568.75
2022.08.23 07:00:00,1.30259,1.30348,1.30244,1.30342,2745.96
2022.08.23 08:00:00,1.30341,1.30411,1.30318,1.30408,4693.07
2022.08.23 09:00:00,1.30409,1.30626,1.30394,1.30474,8930.86
2022.08.23 10:00:00,1.30473,1.30481,1.30114,1.30175,12188.75
2022.08.23 11:00:00,1.30174,1.30201,1.30055,1.30168,10161.96
2022.08.23 12:00:00,1.30172,1.30278,1.30124,1.30194,7351.83
2022.08.23 13:00:00,1.30194,1.30346,1.30162,1.30224,6850.15
2022.08.23 14:00:00,1.30223,1.3029,1.30143,1.30216,6989.69
2022.08.23 15:00:00,1.30217,1.30324,1.30191,1.30255,13122.38
2022.08.23 16:00:00,1.30254,1.30301,1.29768,1.29772,21145.83
2022.08.23 17:00:00,1.29771,1.29788,1.29467,1.29551,30773.1
2022.08.23 18:00:00,1.29551,1.29553,1.29331,1.29447,16263.25
2022.08.23 19:00:00,1.29452,1.29576,1.29442,1.29473,12166.29
2022.08.23 20:00:00,1.29472,1.29663,1.29456,1.29642,13081.72
2022.08.23 21:00:00,1.29641,1.29668,1.2956,1.29644,10581.03
2022.08.23 22:00:00,1.29643,1.29648,1.29508,1.29513,8979.31
2022.08.23 23:00:00,1.29514,1.29584,1.29451,1.29559,3092.35
2022.08.24 00:00:00,1.29559,1.29578,1.295,1.2956,825.22
2022.08.24 01:00:00,1.29555,1.29572,1.29527,1.2956,1560.47
2022.08.24 02:00:00,1.2956,1.29633,1.29532,1.29586,3110.32
2022.08.24 03:00:00,1.29587,1.29717,1.29555,1.29702,6887.7
2022.08.24 04:00:00,1.29702,1.29785,1.29633,1.2972,7285.93
2022.08.24 05:00:00,1.29718,1.29849,1.29664,1.29839,5601.02
2022.08.24 06:00:00,1.29838,1.29855,1.29794,1.29798,4106.39
2022.08.24 07:00:00,1.29798,1.2983,1.29693,1.29725,4221.09
2022.08.24 08:00:00,1.29726,1.2981,1.29684,1.29803,4726.51
2022.08.24 09:00:00,1.29804,1.29841,1.29733,1.29764,6222.97
2022.08.24 10:00:00,1.29766,1.29834,1.29694,1.2973,9471.34
2022.08.24 11:00:00,1.2973,1.29757,1.296,1.29625,10174.51
2022.08.24 12:00:00,1.29624,1.29758,1.29558,1.29748,8873.37
2022.08.24 13:00:00,1.29748,1.29981,1.29724,1.29962,7918.55
2022.08.24 14:00:00,1.29962,1.30016,1.29828,1.29918,10575.54
2022.08.24 15:00:00,1.29919,1.30124,1.29873,1.30071,16983.76
2022.08.24 16:00:00,1.30071,1.30181,1.29996,1.30142,19702.64
2022.08.24 17:00:00,1.30141,1.30166,1.297,1.2976,23243.14
2022.08.24 18:00:00,1.29756,1.29789,1.29583,1.29687,15151.93
2022.08.24 19:00:00,1.29686,1.29839,1.2965,1.29803,13917.88
2022.08.24 20:00:00,1.29802,1.2983,1.29726,1.29729,10879.38
2022.08.24 21:00:00,1.29727,1.29774,1.29692,1.29747,8484.99
2022.08.24 22:00:00,1.29747,1.29762,1.29602,1.29616,8515
2022.08.24 23:00:00,1.29617,1.29714,1.29603,1.29616,2064.33
2022.08.25 00:00:00,1.29625,1.29699,1.29625,1.29654,803.19
2022.08.25 01:00:00,1.29651,1.29715,1.29651,1.29707,1653.75
