Time (EET),Open,High,Low,Close,Volume 
2022.08.19 00:00:00,135.883,135.885,135.856,135.87,3818.85
2022.08.19 01:00:00,135.87,135.899,135.82,135.894,10139.1
2022.08.19 02:00:00,135.894,135.9,135.714,135.803,7622.12
2022.08.19 03:00:00,135.804,136.37,135.803,136.274,26156.62
2022.08.19 04:00:00,136.274,136.337,136.153,136.241,15810.64
2022.08.19 05:00:00,136.24,136.243,136.068,136.116,14291.49
2022.08.19 06:00:00,136.118,136.31,136.117,136.301,12445.44
2022.08.19 07:00:00,136.301,136.344,136.193,136.265,7425.42
2022.08.19 08:00:00,136.267,136.293,136.116,136.199,11084.75
2022.08.19 09:00:00,136.199,136.487,136.197,136.487,20016.05
2022.08.19 10:00:00,136.488,136.686,136.447,136.661,23967.94
2022.08.19 11:00:00,136.66,136.762,136.403,136.475,20154.47
2022.08.19 12:00:00,136.477,136.611,136.387,136.576,14689.43
2022.08.19 13:00:00,136.575,136.881,136.565,136.861,15104.72
2022.08.19 14:00:00,136.862,137.139,136.812,137.022,24329.12
2022.08.19 15:00:00,137.022,137.072,136.805,136.823,27087.98
2022.08.19 16:00:00,136.827,137.087,136.72,136.913,24374.01
2022.08.19 17:00:00,136.915,137.228,136.859,137.121,22624.43
2022.08.19 18:00:00,137.122,137.204,136.957,137.02,14385.57
2022.08.19 19:00:00,137.018,137.02,136.834,136.872,10356.87
2022.08.19 20:00:00,136.869,136.898,136.754,136.798,8976.41
2022.08.19 21:00:00,136.803,136.895,136.734,136.891,10972.39
2022.08.19 22:00:00,136.889,136.889,136.784,136.785,6052.14
2022.08.19 23:00:00,136.786,136.934,136.768,136.878,4491.09
2022.08.22 00:00:00,136.809,136.853,136.809,136.819,104.5
2022.08.22 01:00:00,136.828,137.029,136.82,136.999,8116.23
2022.08.22 02:00:00,136.999,137.076,136.924,137.021,18708.9
2022.08.22 03:00:00,137.02,137.276,136.945,137.268,18175.81
2022.08.22 04:00:00,137.273,137.394,137.192,137.328,17104.17
2022.08.22 05:00:00,137.328,137.433,137.274,137.307,17467.23
2022.08.22 06:00:00,137.308,137.362,137.196,137.238,11847.29
2022.08.22 07:00:00,137.237,137.258,137.105,137.239,9013.83
2022.08.22 08:00:00,137.238,137.285,137.146,137.284,13269.33
2022.08.22 09:00:00,137.285,137.302,136.916,137.063,21763.36
2022.08.22 10:00:00,137.063,137.063,136.765,136.841,21209.18
2022.08.22 11:00:00,136.842,136.975,136.697,136.933,17504.12
2022.08.22 12:00:00,136.929,137.005,136.743,136.766,12967.82
2022.08.22 13:00:00,136.767,137.062,136.762,137.032,12617.23
2022.08.22 14:00:00,137.033,137.097,136.894,136.978,12685.44
2022.08.22 15:00:00,136.978,137.245,136.978,137.179,17723.1
2022.08.22 16:00:00,137.179,137.369,137.019,137.351,22992.92
2022.08.22 17:00:00,137.354,137.375,137.125,137.183,21471.6
2022.08.22 18:00:00,137.184,137.647,137.166,137.57,23004.65
2022.08.22 19:00:00,137.571,137.585,137.359,137.451,11191.74
2022.08.22 20:00:00,137.45,137.495,137.35,137.439,10102.96
